"yob","sex","state","race","educ","ideo","pid_1","pid_2r","pid_2d","pid_2i","biden_approval","trump_approval","screener_2","screener_4","policy_educ","policy_tax","policy_immi","policy_mari","statement_1","statement_2","statement_3","statement_4","statement_5","statement_6","statement_7","statement_8","statement_9","statement_10","statement_11","statement_12","statement_13","statement_14","statement_15","statement_16","statement_17","statement_18","statement_19","statement_20","statement_21","statement_22","statement_23","statement_24","statement_25","statement_timer_First.Click","statement_timer_Last.Click","statement_timer_Page.Submit","statement_timer_Click.Count"
33,2,34,"1",2,4,2,NA,2,NA,3,3,3,2,2,1,3,4,50,50,50,NA,50,50,50,50,50,NA,NA,NA,50,NA,NA,NA,50,50,NA,50,NA,50,NA,50,50,18.222,181.321,184.862,48
46,1,44,"1",3,4,3,NA,NA,3,3,2,3,2,2,1,4,2,NA,32,48,NA,30,NA,54,51,NA,NA,20,65,NA,14,52,NA,NA,39,NA,NA,43,18,28,21,66,16.605,207.342,208.564,58
16,1,45,"4",5,3,2,NA,1,NA,3,1,1,1,1,1,1,2,NA,NA,NA,24,86,NA,27,78,100,14,75,43,NA,NA,63,51,NA,9,52,NA,70,41,NA,NA,88,2.482,79.361,154.964,25
40,2,4,"1",2,4,3,NA,NA,1,4,1,3,1,2,3,3,1,NA,33,28,NA,32,NA,35,89,46,NA,NA,12,NA,NA,96,99,NA,86,NA,73,47,100,42,NA,21,50.55,349.093,351.401,28
6,1,39,"5",4,6,3,NA,NA,2,2,3,1,2,3,2,3,1,NA,72,NA,47,NA,38,56,41,34,39,98,NA,77,52,NA,NA,70,60,NA,29,NA,21,40,NA,NA,1.803,59.852,60.939,47
13,2,18,"4",5,5,2,NA,1,NA,2,2,3,1,2,2,2,2,NA,80,NA,59,81,69,NA,NA,81,65,33,33,87,51,NA,NA,66,49,NA,93,NA,NA,43,62,NA,1.3,59.751,61.519,48
24,1,5,"4",5,4,3,NA,NA,3,3,3,3,2,4,4,4,1,18,31,NA,20,17,22,NA,15,NA,NA,NA,19,NA,26,NA,14,34,19,NA,16,27,NA,NA,20,16,0.748,19.891,63.579,38
17,1,21,"2",2,2,1,1,NA,NA,1,1,3,2,2,1,1,1,NA,71,75,80,71,NA,70,73,NA,75,NA,60,70,71,73,82,NA,NA,67,NA,NA,80,NA,NA,72,0.896,46.499,70.546,66
28,1,14,"1",2,6,1,1,NA,NA,3,3,3,2,1,1,1,1,57,NA,62,62,NA,68,NA,NA,57,66,64,66,55,NA,67,68,NA,60,NA,NA,71,NA,60,62,NA,1.823,23.841,61.131,45
29,1,14,"2",2,3,3,NA,NA,2,2,3,2,2,2,2,3,1,75,52,NA,81,NA,71,NA,NA,NA,48,100,78,NA,74,43,50,70,NA,NA,38,46,NA,26,39,NA,1.809,56.089,64.201,39
49,2,5,"3",3,6,2,NA,2,NA,1,4,3,3,2,3,2,2,29,53,49,NA,57,NA,58,49,54,61,NA,NA,NA,51,47,NA,NA,52,52,40,NA,NA,NA,52,54,2.326,44.911,63.011,32
30,2,39,"3",1,2,2,NA,1,NA,2,4,1,3,4,3,3,3,70,NA,NA,64,17,NA,59,43,62,51,36,NA,NA,55,57,NA,NA,36,43,36,88,NA,NA,46,NA,3.194,63.596,65.099,44
14,2,10,"1",5,1,2,NA,1,NA,1,4,3,2,1,1,2,1,NA,62,38,55,100,99,NA,NA,68,NA,56,NA,NA,NA,84,48,84,25,NA,NA,55,43,60,46,NA,1.136,31.633,67.478,44
25,2,36,"1",2,4,3,NA,NA,3,4,1,3,3,2,2,3,4,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,NA,0,1,0,NA,NA,0,1,0,NA,NA,0,0,2.764,59.708,62.528,28
8,1,11,"1",2,4,3,NA,NA,3,2,3,3,3,3,2,3,2,31,28,NA,50,36,91,NA,90,52,NA,70,NA,NA,64,49,NA,NA,97,77,NA,NA,24,71,54,NA,0.88,24.845,60.837,76
